id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jumlah_produksi,satuan,tahun
87,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,68,TON,2019
88,32,JAWA BARAT,3207,KABUPATEN CIAMIS,0,TON,2019
89,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,0,TON,2019
90,32,JAWA BARAT,3209,KABUPATEN CIREBON,0,TON,2019
91,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,0,TON,2019
92,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,0,TON,2019
93,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,0,TON,2019
94,32,JAWA BARAT,3213,KABUPATEN SUBANG,18547,TON,2019
95,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,0,TON,2019
96,32,JAWA BARAT,3215,KABUPATEN KARAWANG,0,TON,2019
97,32,JAWA BARAT,3216,KABUPATEN BEKASI,0,TON,2019
98,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,612,TON,2019
99,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,0,TON,2019
100,32,JAWA BARAT,3271,KOTA BOGOR,0,TON,2019
101,32,JAWA BARAT,3272,KOTA SUKABUMI,0,TON,2019
102,32,JAWA BARAT,3273,KOTA BANDUNG,0,TON,2019
103,32,JAWA BARAT,3274,KOTA CIREBON,0,TON,2019
104,32,JAWA BARAT,3275,KOTA BEKASI,0,TON,2019
105,32,JAWA BARAT,3276,KOTA DEPOK,0,TON,2019
106,32,JAWA BARAT,3277,KOTA CIMAHI,0,TON,2019
107,32,JAWA BARAT,3278,KOTA TASIKMALAYA,0,TON,2019
108,32,JAWA BARAT,3279,KOTA BANJAR,0,TON,2019
109,32,JAWA BARAT,3201,KABUPATEN BOGOR,43183,TON,2020
110,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,62073,TON,2020
111,32,JAWA BARAT,3203,KABUPATEN CIANJUR,10414,TON,2020
112,32,JAWA BARAT,3204,KABUPATEN BANDUNG,0,TON,2020
113,32,JAWA BARAT,3205,KABUPATEN GARUT,2506,TON,2020
114,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,66,TON,2020
115,32,JAWA BARAT,3207,KABUPATEN CIAMIS,0,TON,2020
116,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,0,TON,2020
117,32,JAWA BARAT,3209,KABUPATEN CIREBON,0,TON,2020
118,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,0,TON,2020
119,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,0,TON,2020
120,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,0,TON,2020
121,32,JAWA BARAT,3213,KABUPATEN SUBANG,14690,TON,2020
122,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,0,TON,2020
123,32,JAWA BARAT,3215,KABUPATEN KARAWANG,0,TON,2020
124,32,JAWA BARAT,3216,KABUPATEN BEKASI,0,TON,2020
125,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,1041,TON,2020
126,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,0,TON,2020
127,32,JAWA BARAT,3271,KOTA BOGOR,0,TON,2020
128,32,JAWA BARAT,3272,KOTA SUKABUMI,0,TON,2020
129,32,JAWA BARAT,3273,KOTA BANDUNG,0,TON,2020
130,32,JAWA BARAT,3274,KOTA CIREBON,0,TON,2020
131,32,JAWA BARAT,3275,KOTA BEKASI,0,TON,2020
132,32,JAWA BARAT,3276,KOTA DEPOK,0,TON,2020
133,32,JAWA BARAT,3277,KOTA CIMAHI,0,TON,2020
